750$2018-06-02 10:26:28$like$1328
683$2018-06-24 18:54:27$browse$1152
918$2018-05-23 20:15:43$giveMark$437$4
810$2018-03-24 08:58:25$giveMark$775$1
57$2018-01-19 04:41:26$like$1757
132$2018-04-28 06:39:37$giveMark$1818$1
962$2018-08-21 05:48:05$like$871
892$2018-01-07 16:05:20$like$636
495$2018-09-20 01:50:10$share$2074
91$2018-02-11 00:11:45$giveMark$1551$4
339$2018-01-27 22:39:51$like$468
1057$2018-05-06 05:34:34$share$2043
85$2018-07-02 17:13:54$share$722
668$2018-04-24 13:12:45$like$773
491$2018-01-20 14:04:34$giveMark$1432$2
960$2018-10-05 15:54:37$like$1745
707$2018-05-24 07:45:46$giveMark$1780$7
1045$2018-01-08 14:33:01$like$592
291$2018-07-06 04:41:21$share$1223
770$2018-10-23 22:36:40$like$1963
457$2018-08-24 03:31:38$share$707
292$2018-05-19 04:32:22$share$309
539$2018-10-02 09:18:37$like$1333
206$2018-04-02 16:26:33$like$156
346$2018-01-20 21:13:38$browse$1324
256$2018-03-09 02:26:36$giveMark$1159$2
805$2018-07-19 21:10:12$browse$1984
949$2018-05-10 10:07:48$like$489
336$2018-08-04 20:43:49$share$1123
523$2018-09-07 14:13:26$giveMark$268$8
473$2018-07-01 10:27:23$like$1075
753$2018-09-27 10:00:04$share$223
91$2018-08-08 08:12:29$giveMark$1389$2
910$2018-01-12 10:08:34$browse$1552
595$2018-07-28 17:24:35$like$411
844$2018-01-27 09:00:08$like$1042
172$2018-05-15 10:17:24$browse$663
275$2018-07-07 02:27:29$browse$1528
224$2018-10-14 14:04:05$share$437
300$2018-03-13 18:47:08$like$1575
900$2018-09-22 09:51:06$share$180
787$2018-05-03 07:23:27$giveMark$671$5
585$2018-07-14 02:41:33$browse$733
116$2018-01-01 13:16:56$browse$2098
289$2018-09-24 09:25:40$share$1490
597$2018-05-08 10:21:18$giveMark$1740$4
1034$2018-09-21 01:03:49$share$72
501$2018-05-11 05:11:03$giveMark$1040$8
596$2018-03-28 01:37:50$giveMark$965$7
924$2018-07-15 04:30:09$browse$1001
371$2018-10-10 13:50:30$giveMark$1705$9
126$2018-08-11 07:41:02$giveMark$1302$4
800$2018-02-02 07:51:09$giveMark$57$6
899$2018-09-22 01:45:46$giveMark$1475$4
957$2018-08-22 02:22:34$giveMark$503$1
823$2018-04-22 14:59:02$browse$1727
88$2018-01-04 13:28:29$share$875
430$2018-09-07 15:50:33$like$632
931$2018-03-21 05:29:22$giveMark$884$10
226$2018-03-21 02:38:10$share$1216
162$2018-01-11 16:17:45$giveMark$2071$2
273$2018-06-06 05:54:18$share$1187
338$2018-02-02 13:33:35$like$151
906$2018-04-07 10:55:35$share$1262
830$2018-02-05 15:32:08$share$2002
629$2018-02-28 15:06:26$giveMark$1185$9
303$2018-01-27 19:42:43$browse$1250
144$2018-05-16 12:55:54$giveMark$1501$10
24$2018-04-07 06:41:55$like$1081
684$2018-07-31 08:25:47$browse$151
700$2018-07-17 22:03:04$browse$1139
342$2018-10-24 08:23:34$giveMark$1355$3
468$2018-09-06 21:31:18$share$663
741$2018-01-23 23:17:40$giveMark$840$9
26$2018-02-08 08:39:32$giveMark$1038$2
1004$2018-08-14 19:05:57$like$1010
782$2018-05-08 15:46:52$like$1690
649$2018-07-31 14:42:45$share$2083
1000$2018-02-01 09:43:04$like$104
398$2018-06-21 01:43:03$share$584
153$2018-09-19 11:54:45$like$918
684$2018-05-17 12:25:09$giveMark$1018$4
433$2018-09-12 06:50:23$like$2053
453$2018-07-19 08:44:41$browse$1313
354$2018-08-29 17:43:12$browse$1063
936$2018-03-04 19:41:40$browse$1410
946$2018-08-19 18:01:38$like$113
946$2018-05-27 13:49:19$browse$794
204$2018-10-07 20:58:51$giveMark$234$2
479$2018-03-14 04:53:11$giveMark$137$5
472$2018-03-25 01:39:21$giveMark$2034$10
1034$2018-03-21 17:22:19$like$1216
915$2018-07-16 09:46:33$like$467
119$2018-01-02 04:20:41$like$1890
850$2018-07-23 22:27:30$like$147
1017$2018-10-03 22:26:09$giveMark$366$6
131$2018-01-19 16:44:05$like$103
969$2018-09-01 16:41:12$giveMark$1026$5
23$2018-07-05 02:45:51$giveMark$1433$10
89$2018-05-08 20:13:55$like$833
330$2018-04-03 09:01:31$like$2043
261$2018-08-10 06:39:25$browse$870
581$2018-03-29 06:00:20$like$1065
183$2018-04-10 19:36:19$giveMark$950$6
667$2018-01-04 06:43:26$giveMark$443$6
78$2018-03-28 18:44:04$share$1618
818$2018-01-22 13:29:23$like$1400
286$2018-01-05 09:08:02$browse$442
331$2018-03-01 01:50:28$giveMark$259$1
324$2018-05-09 13:48:44$giveMark$1970$1
358$2018-01-26 19:20:00$browse$1760
264$2018-04-19 05:15:35$giveMark$1504$8
519$2018-07-05 19:22:56$like$855
112$2018-09-01 03:29:47$giveMark$699$10
219$2018-09-10 14:18:25$giveMark$184$8
5$2018-06-11 11:46:18$giveMark$341$9
561$2018-02-17 15:31:32$share$2078
233$2018-03-19 12:27:20$browse$2
757$2018-10-19 09:59:12$share$148
55$2018-03-16 18:33:25$browse$1295
743$2018-08-23 14:32:51$browse$1250
766$2018-03-17 08:59:21$giveMark$1963$6
24$2018-02-16 01:14:33$giveMark$1231$3
221$2018-03-20 01:05:29$share$256
778$2018-08-13 22:42:03$like$1976
88$2018-06-14 14:33:42$browse$338
1054$2018-08-13 15:21:19$browse$1464
737$2018-04-18 18:17:55$browse$1430
457$2018-02-04 20:00:43$giveMark$1877$7
1058$2018-10-14 18:23:13$share$1404
376$2018-03-31 13:24:28$share$2017
333$2018-01-20 19:05:26$like$1710
799$2018-09-14 02:14:16$browse$398
919$2018-04-26 10:08:47$share$558
172$2018-02-18 10:39:31$browse$2080
1020$2018-06-24 10:23:24$giveMark$491$9
476$2018-03-15 15:16:40$like$1471
934$2018-01-26 08:37:02$share$1916
366$2018-07-09 11:40:48$giveMark$466$9
661$2018-02-27 19:48:00$share$1106
537$2018-01-08 20:30:36$like$908
695$2018-05-15 14:51:40$share$658
622$2018-03-15 18:02:10$like$1385
868$2018-06-28 22:40:35$browse$328
113$2018-08-23 04:12:42$like$1393
266$2018-10-26 02:30:40$like$13
24$2018-02-22 05:09:19$share$1468
16$2018-10-12 14:02:07$giveMark$1074$9
646$2018-08-02 00:52:52$like$5
559$2018-05-16 22:52:50$giveMark$362$2
859$2018-03-21 04:51:44$like$687
30$2018-07-18 00:23:11$giveMark$635$1
394$2018-07-26 03:20:22$browse$1154
1016$2018-05-08 04:55:03$giveMark$1293$10
210$2018-02-19 00:03:20$browse$726
800$2018-09-30 08:03:28$browse$1009
414$2018-05-02 20:03:29$share$1781
817$2018-05-29 02:09:01$giveMark$306$6
699$2018-02-07 20:16:11$giveMark$1141$8
702$2018-06-25 04:06:25$giveMark$31$3
28$2018-05-30 21:37:54$share$1476
646$2018-09-05 00:09:15$giveMark$310$6
222$2018-10-08 04:03:13$giveMark$250$3
481$2018-03-16 22:40:03$browse$834
162$2018-10-01 01:22:02$browse$274
997$2018-07-03 01:19:09$share$990
226$2018-07-26 01:59:18$share$1336
246$2018-01-27 13:19:02$share$96
654$2018-03-11 02:23:03$like$2099
242$2018-04-10 13:31:55$giveMark$694$6
882$2018-04-17 11:26:48$share$68
34$2018-09-06 18:34:43$browse$795
891$2018-04-27 21:34:16$giveMark$1109$2
686$2018-02-22 05:18:51$like$1674
213$2018-05-01 20:27:33$giveMark$1323$6
937$2018-06-08 13:53:06$browse$1185
592$2018-07-20 20:48:04$share$1388
1015$2018-02-12 20:02:10$giveMark$96$3
714$2018-01-17 04:40:37$browse$273
21$2018-01-30 06:36:10$browse$15
305$2018-07-15 21:15:21$browse$1444
948$2018-02-19 20:32:42$browse$547
389$2018-02-18 04:28:24$share$1827
670$2018-03-24 17:35:19$giveMark$1752$4
110$2018-02-23 17:53:45$browse$627
394$2018-07-11 12:03:10$share$511
975$2018-01-28 17:35:08$giveMark$1845$10
615$2018-06-22 21:12:21$like$1610
29$2018-03-16 20:06:51$browse$1483
465$2018-09-10 08:59:48$like$1147
378$2018-10-21 16:27:21$giveMark$1339$1
183$2018-06-30 17:24:37$browse$536
165$2018-04-20 16:00:19$share$1003
194$2018-01-21 18:40:21$browse$553
595$2018-02-08 09:49:52$browse$715
174$2018-04-13 22:41:00$like$1000
853$2018-10-13 10:32:57$share$941
320$2018-01-31 07:10:36$like$991
807$2018-10-09 08:07:11$like$1856
940$2018-06-04 11:55:00$giveMark$293$8
376$2018-02-23 02:59:01$giveMark$792$2
822$2018-02-19 04:55:00$browse$1305
1051$2018-02-08 22:57:18$giveMark$1223$8
176$2018-06-26 17:49:27$share$829
502$2018-05-12 05:58:10$share$719
438$2018-02-14 19:21:42$like$1035
207$2018-04-24 13:23:59$share$1005
408$2018-01-28 13:54:44$browse$1771
217$2018-05-19 06:03:00$like$1367
913$2018-10-25 23:36:42$share$443
806$2018-03-11 17:41:40$share$790
896$2018-09-27 15:21:59$share$949
467$2018-02-26 01:38:28$like$1581
419$2018-03-25 21:40:08$like$1828
34$2018-04-25 20:33:00$browse$383
528$2018-06-04 08:05:30$like$1326
75$2018-10-15 09:58:31$giveMark$212$4
765$2018-03-15 04:45:49$share$1763
544$2018-01-05 04:17:34$giveMark$1556$6
887$2018-02-18 20:44:04$like$987
890$2018-06-05 13:52:30$share$1873
823$2018-07-28 03:56:26$like$1148
178$2018-01-17 22:18:13$browse$985
867$2018-09-13 03:31:51$browse$1650
229$2018-06-08 08:02:44$giveMark$338$3
945$2018-05-25 19:33:39$share$1892
196$2018-03-17 08:45:18$giveMark$252$6
857$2018-08-21 05:43:44$browse$1685
689$2018-10-09 20:19:09$giveMark$1930$2
593$2018-10-31 16:29:10$like$632
266$2018-02-19 20:22:12$like$400
740$2018-04-22 01:55:39$like$611
761$2018-05-11 09:58:04$browse$542
773$2018-05-02 14:28:57$like$1388
926$2018-06-18 21:35:28$giveMark$1251$9
770$2018-09-02 16:50:16$browse$1422
655$2018-04-19 08:38:14$browse$778
853$2018-01-19 02:43:57$giveMark$141$6
343$2018-01-14 03:14:24$like$1224
1050$2018-04-05 19:26:52$browse$1061
19$2018-07-21 15:30:47$giveMark$371$7
29$2018-06-12 22:12:21$share$1430
722$2018-06-04 17:27:08$browse$412
605$2018-09-20 01:12:43$like$907
783$2018-03-25 23:06:37$like$797
397$2018-05-02 13:35:12$browse$693
261$2018-02-03 16:14:13$share$756
583$2018-03-09 01:26:07$browse$996
260$2018-03-21 11:39:14$browse$526
850$2018-04-01 15:51:14$browse$1758
228$2018-03-12 15:27:06$giveMark$388$9
578$2018-01-20 20:17:21$like$678
373$2018-05-10 08:57:27$giveMark$192$9
846$2018-10-01 17:53:14$share$1878
768$2018-10-29 11:19:46$like$1736
917$2018-08-11 14:46:02$giveMark$1460$7
729$2018-08-21 16:48:59$share$434
786$2018-04-05 14:51:43$giveMark$1320$5
280$2018-06-14 23:01:12$like$1766
684$2018-08-07 17:33:51$giveMark$316$7
404$2018-09-25 10:53:48$like$567
623$2018-06-25 06:54:49$share$250
457$2018-03-07 11:26:23$giveMark$1977$2
499$2018-02-14 07:23:56$giveMark$977$7
134$2018-08-22 12:57:08$like$796
120$2018-07-13 02:49:44$like$1144
592$2018-06-17 11:27:57$share$711
239$2018-04-09 23:03:19$share$1401
411$2018-02-21 00:13:48$giveMark$2037$3
1038$2018-08-15 21:10:06$browse$1847
749$2018-09-28 01:46:41$share$131
84$2018-02-09 20:00:43$browse$567
119$2018-10-19 09:12:55$giveMark$1487$7
458$2018-07-05 08:35:09$like$522
708$2018-10-26 16:22:53$browse$34
739$2018-04-15 08:45:25$browse$545
90$2018-06-28 04:36:44$like$1519
449$2018-01-09 18:50:46$giveMark$1887$3
186$2018-06-01 14:23:03$like$969
623$2018-08-08 08:31:21$giveMark$2027$7
239$2018-10-16 22:44:03$like$2040
434$2018-10-24 19:32:50$browse$1730
950$2018-04-05 03:18:24$browse$1932
499$2018-06-03 07:50:17$giveMark$896$2
681$2018-08-18 06:14:02$share$296
1$2018-09-28 04:34:21$giveMark$2008$9
153$2018-06-09 06:32:47$giveMark$1728$10
443$2018-09-22 19:25:29$like$239
803$2018-05-17 18:51:29$browse$1130
351$2018-06-02 06:16:57$share$629
882$2018-01-20 04:42:27$giveMark$688$7
316$2018-03-13 11:41:48$share$811
83$2018-10-17 05:13:02$browse$2004
946$2018-04-23 12:10:06$like$1141
835$2018-01-06 16:33:32$giveMark$1675$7
655$2018-05-06 12:03:40$browse$1152
837$2018-02-26 01:42:08$share$1874
680$2018-05-30 06:07:10$share$1925
183$2018-03-19 16:51:25$share$1931
372$2018-03-24 13:12:14$giveMark$300$9
965$2018-09-25 23:59:43$giveMark$672$6
821$2018-02-14 07:41:28$like$641
1014$2018-10-03 08:34:38$browse$1158
533$2018-01-25 18:16:18$browse$1530
934$2018-08-12 01:58:58$giveMark$836$8
793$2018-04-28 08:32:49$browse$1103
751$2018-08-20 06:40:12$giveMark$1177$3
989$2018-04-30 11:59:16$like$632
233$2018-09-05 02:44:55$share$1680
801$2018-02-02 01:07:31$like$1714
357$2018-03-25 22:02:22$giveMark$1151$4
69$2018-10-23 19:55:28$like$1938
1023$2018-07-03 14:40:15$giveMark$99$3
238$2018-01-10 06:08:43$like$135
109$2018-02-10 02:34:07$like$989
426$2018-01-21 17:06:20$share$532
398$2018-01-22 15:39:30$like$1919
373$2018-09-12 18:03:04$giveMark$1939$6
890$2018-03-22 17:07:24$giveMark$831$10
4$2018-02-24 16:46:03$giveMark$858$3
588$2018-06-20 00:34:47$giveMark$1787$3
46$2018-08-04 21:37:36$like$1497
524$2018-03-28 10:06:01$giveMark$331$8
981$2018-05-01 21:42:47$like$1802
463$2018-10-09 12:50:32$share$66
734$2018-09-13 08:56:40$browse$927
397$2018-07-28 07:39:01$browse$997
791$2018-05-07 04:10:04$giveMark$1567$6
44$2018-06-28 19:55:44$giveMark$545$3
961$2018-04-01 02:00:58$share$1602
26$2018-02-20 19:01:22$like$512
598$2018-08-22 06:40:49$share$1023
174$2018-09-19 10:23:28$like$277
833$2018-07-30 08:32:02$browse$732
962$2018-02-09 13:23:09$giveMark$179$10
720$2018-05-17 09:55:48$giveMark$1966$9
761$2018-07-09 23:08:06$browse$401
648$2018-04-12 06:19:15$share$1532
829$2018-06-20 05:07:28$like$720
290$2018-02-03 18:16:14$giveMark$360$4
1033$2018-01-31 05:21:26$like$1250
951$2018-02-06 09:20:41$browse$517
445$2018-05-21 21:26:41$giveMark$1357$4
381$2018-09-03 09:25:10$giveMark$2073$4
323$2018-04-04 21:32:27$giveMark$414$3
205$2018-10-24 08:09:04$share$220
280$2018-06-03 02:33:14$share$1166
460$2018-09-15 02:30:48$like$367
129$2018-09-25 19:59:55$browse$2008
1027$2018-01-05 08:52:40$browse$990
288$2018-07-31 19:18:10$giveMark$1704$10
1004$2018-01-03 07:20:31$giveMark$2054$2
812$2018-05-13 06:57:20$giveMark$85$7
968$2018-02-27 22:58:26$like$999
378$2018-08-18 06:56:27$share$311
22$2018-08-30 21:17:22$giveMark$1114$3
847$2018-05-02 18:45:07$like$1161
536$2018-09-08 20:48:07$share$1131
564$2018-07-10 17:38:58$giveMark$215$8
778$2018-07-31 01:47:50$giveMark$375$3
162$2018-05-26 13:12:50$giveMark$49$1
270$2018-10-10 00:46:38$share$1575
141$2018-07-07 21:10:08$giveMark$1246$2
276$2018-07-15 03:23:35$share$1707
213$2018-06-21 23:27:35$giveMark$1401$3
582$2018-08-30 03:12:23$giveMark$336$2
892$2018-08-08 04:37:42$browse$1983
812$2018-06-27 12:05:07$giveMark$1994$6
47$2018-04-18 06:31:52$share$518
644$2018-02-11 20:50:52$like$49
512$2018-05-07 20:27:35$like$928
279$2018-04-22 09:53:54$browse$848
1045$2018-05-31 02:35:36$browse$1453
472$2018-02-16 17:55:59$giveMark$993$8
30$2018-07-19 12:21:41$like$1636
702$2018-08-13 05:46:23$giveMark$1705$7
942$2018-05-04 00:40:32$share$1458
320$2018-01-21 03:44:25$browse$1186
362$2018-06-29 03:08:59$browse$1336
571$2018-03-02 10:23:57$share$1395
1052$2018-08-14 12:26:43$giveMark$2073$6
635$2018-03-14 00:22:12$giveMark$1042$4
798$2018-09-16 04:48:45$share$1433
800$2018-09-07 16:42:29$like$1506
506$2018-04-30 17:35:42$browse$926
24$2018-09-14 08:47:47$giveMark$292$3
905$2018-03-15 17:19:22$browse$963
174$2018-07-10 19:18:35$like$810
611$2018-06-04 07:51:59$browse$1904
330$2018-06-10 23:12:00$like$431
238$2018-07-30 07:58:32$like$258
111$2018-06-07 00:19:12$giveMark$1440$8
507$2018-02-26 18:19:13$giveMark$1329$10
693$2018-02-10 13:06:50$browse$317
371$2018-09-10 08:13:42$giveMark$1628$8
484$2018-07-10 05:26:01$giveMark$1184$3
399$2018-02-05 17:54:35$browse$1766
857$2018-05-19 06:50:03$like$788
762$2018-02-23 16:21:50$like$148
988$2018-05-30 01:32:26$share$326
883$2018-01-08 21:15:07$giveMark$1349$9
579$2018-02-26 02:07:44$share$1223
893$2018-10-29 02:28:30$like$1240
421$2018-08-11 09:20:50$giveMark$1912$3
344$2018-01-10 04:45:10$share$1184
382$2018-03-08 09:15:15$giveMark$189$5
524$2018-03-29 09:51:45$share$971
795$2018-08-22 01:00:43$like$1258
116$2018-06-08 09:15:04$share$1822
1011$2018-09-05 21:18:29$browse$144
994$2018-07-11 16:04:07$giveMark$2018$7
473$2018-01-03 02:32:37$browse$1864
294$2018-10-21 03:34:26$like$1106
939$2018-03-12 05:17:37$browse$1622
529$2018-08-09 17:41:19$like$1426
302$2018-07-15 11:17:22$giveMark$1447$5
1052$2018-06-30 06:16:25$share$1217
1009$2018-07-08 03:14:57$share$1955
828$2018-01-17 15:25:21$browse$1863
766$2018-03-18 06:41:49$giveMark$1299$5
90$2018-08-24 16:46:17$browse$2087
574$2018-06-05 21:06:06$share$835
67$2018-06-25 17:33:21$share$1374
427$2018-02-11 14:08:41$like$305
505$2018-10-06 04:44:45$giveMark$9$1
733$2018-02-06 04:19:46$browse$99
950$2018-03-29 12:29:35$like$1042
392$2018-08-05 17:40:34$share$941
615$2018-08-19 19:38:25$share$1372
748$2018-04-29 01:53:03$share$368
855$2018-05-25 00:12:57$share$666
687$2018-06-05 05:59:54$giveMark$1275$3
694$2018-05-16 13:50:53$like$835
252$2018-03-16 06:28:10$browse$518
502$2018-01-17 05:26:34$like$1280
299$2018-08-29 02:30:55$share$1361
556$2018-03-16 16:03:27$share$868
45$2018-10-21 05:28:36$browse$1705
864$2018-03-08 18:37:05$browse$155
387$2018-08-28 12:35:29$like$1459
760$2018-05-10 10:04:43$browse$843
910$2018-02-11 11:31:00$like$2071
896$2018-10-25 01:36:16$like$1373
29$2018-02-22 05:52:16$giveMark$1485$6
581$2018-04-09 23:51:56$browse$836
382$2018-08-20 05:45:33$giveMark$323$10
38$2018-01-19 20:26:40$browse$180
139$2018-02-11 05:02:28$share$1500
391$2018-02-16 07:36:24$browse$1148
92$2018-03-04 09:10:43$share$1697
234$2018-09-20 18:08:44$giveMark$2036$2
18$2018-04-18 16:32:54$share$1468
170$2018-05-07 06:20:37$browse$679
803$2018-05-04 01:18:47$like$2064
782$2018-03-29 10:28:21$share$810
829$2018-07-08 21:30:58$share$602
565$2018-07-19 07:04:22$giveMark$770$8
143$2018-09-22 06:52:23$like$818
90$2018-10-22 22:44:30$share$2089
305$2018-01-14 02:33:04$giveMark$1610$10
702$2018-04-05 22:51:52$giveMark$1866$3
270$2018-06-21 19:03:40$like$469
959$2018-09-07 18:51:44$share$1952
266$2018-04-12 02:07:34$like$1705
197$2018-05-30 07:12:05$giveMark$802$10
1031$2018-10-30 08:20:01$share$1117
616$2018-10-10 10:19:36$share$226
868$2018-06-19 17:17:34$like$739
439$2018-03-28 07:47:25$browse$1680
428$2018-03-12 01:57:42$like$1942
297$2018-04-23 17:47:32$like$1571
622$2018-06-16 02:41:58$share$1093
72$2018-01-11 03:55:50$like$1616
624$2018-03-06 09:36:27$giveMark$1430$7
696$2018-04-30 18:29:09$giveMark$1160$1
381$2018-04-25 07:41:43$share$1987
750$2018-07-07 21:24:05$like$1302
13$2018-06-12 16:14:23$share$1072
362$2018-01-27 20:19:58$share$78
423$2018-02-03 19:02:32$share$1906
887$2018-07-16 21:34:42$giveMark$1879$3
714$2018-06-27 15:14:03$browse$9
1016$2018-02-28 13:31:18$browse$1841
743$2018-09-21 05:50:45$share$1766
426$2018-09-15 07:38:56$share$1919
766$2018-05-17 21:59:36$like$1685
47$2018-10-16 13:12:38$browse$1158
293$2018-10-30 23:52:02$giveMark$300$6
948$2018-06-17 02:47:17$like$860
122$2018-09-18 09:28:52$like$130
260$2018-09-18 22:55:40$share$1673
1014$2018-03-13 08:45:10$browse$440
805$2018-07-30 07:20:58$like$576
16$2018-07-18 16:14:46$like$539
1033$2018-01-19 23:16:42$giveMark$103$9
880$2018-08-16 13:01:13$like$1407
787$2018-06-17 23:13:14$browse$10
645$2018-10-21 05:11:55$share$36
427$2018-10-20 02:56:21$like$1635
412$2018-07-02 03:09:23$browse$413
46$2018-06-04 07:55:46$share$1965
586$2018-10-24 19:22:21$like$476
842$2018-01-01 18:27:13$giveMark$284$5
762$2018-09-30 13:43:54$like$1063
37$2018-04-09 04:59:08$browse$1942
931$2018-09-14 23:59:13$like$541
209$2018-03-23 02:01:52$giveMark$1476$7
659$2018-05-11 21:00:43$giveMark$1361$6
965$2018-01-28 20:02:42$giveMark$785$1
493$2018-09-08 02:24:46$giveMark$381$9
286$2018-07-23 20:37:13$browse$1289
831$2018-10-19 03:35:55$like$848
993$2018-01-04 13:47:49$share$1819
228$2018-10-16 07:33:40$browse$1864
41$2018-04-27 14:57:15$like$1639
575$2018-03-12 09:08:25$like$1672
203$2018-07-23 05:35:19$share$800
512$2018-06-04 06:23:16$share$1843
112$2018-07-29 19:48:34$like$739
719$2018-02-16 14:52:42$browse$1518
1055$2018-10-01 07:02:44$like$542
962$2018-02-23 03:31:00$giveMark$177$1
488$2018-04-11 11:52:56$giveMark$185$8
692$2018-06-04 20:17:29$like$1670
133$2018-04-07 01:22:52$browse$2079
927$2018-07-16 21:56:53$share$744
75$2018-10-27 14:01:21$giveMark$1862$1
12$2018-06-14 17:31:21$browse$429
446$2018-07-15 03:15:54$browse$1930
670$2018-07-01 14:52:41$giveMark$325$5
772$2018-01-16 17:04:13$like$757
121$2018-10-04 05:53:43$browse$1536
323$2018-06-21 22:01:46$like$810
392$2018-05-09 12:36:45$share$194
649$2018-02-19 23:07:34$share$237
282$2018-06-28 13:41:38$share$1162
1000$2018-03-24 19:48:35$giveMark$4$4
945$2018-03-06 09:46:21$giveMark$742$9
804$2018-04-28 09:34:08$like$816
384$2018-10-07 15:47:29$giveMark$1992$10
841$2018-10-15 04:52:12$share$916
815$2018-07-28 07:17:26$like$1652
297$2018-04-22 09:55:49$browse$844
689$2018-02-14 08:42:18$share$1607
467$2018-04-28 17:41:44$like$895
139$2018-02-09 23:27:06$browse$1577
804$2018-04-15 07:11:28$browse$734
213$2018-01-13 08:05:05$like$1379
446$2018-02-15 01:46:56$browse$802
578$2018-03-16 04:08:02$like$137
14$2018-08-18 09:59:19$like$1385
232$2018-01-23 16:30:22$like$1265
97$2018-05-24 02:05:20$share$1616
14$2018-07-17 02:57:06$like$858
304$2018-06-26 08:19:47$giveMark$730$9
1019$2018-05-13 11:48:33$like$1237
589$2018-09-18 20:44:46$giveMark$1575$6
139$2018-08-26 18:17:13$share$1687
910$2018-03-26 10:51:45$browse$1405
229$2018-01-27 19:55:12$giveMark$2020$3
426$2018-09-17 16:15:46$giveMark$1491$7
579$2018-04-27 02:37:41$giveMark$1093$2
570$2018-04-04 11:45:03$giveMark$1704$6
58$2018-02-10 21:50:04$like$987
608$2018-08-08 20:40:48$giveMark$496$6
512$2018-10-31 00:20:31$browse$561
176$2018-04-06 03:05:30$like$1550
852$2018-09-20 20:27:55$like$1189
536$2018-05-24 23:58:10$share$1307
109$2018-07-19 06:55:26$giveMark$694$7
452$2018-07-24 07:17:20$giveMark$1333$6
1032$2018-03-16 00:59:35$giveMark$135$8
424$2018-06-15 13:41:32$browse$296
64$2018-06-19 15:05:23$share$1138
910$2018-04-26 03:27:34$share$424
222$2018-03-19 00:00:10$like$1750
406$2018-02-08 01:52:29$share$764
480$2018-05-30 09:32:48$like$1305
454$2018-03-11 06:58:41$share$101
634$2018-10-24 12:47:09$browse$1502
27$2018-03-08 22:59:56$like$1196
591$2018-10-02 14:34:33$share$1680
678$2018-09-14 19:09:37$giveMark$1207$10
48$2018-05-24 11:29:28$browse$1252
711$2018-07-22 22:06:35$browse$1595
236$2018-06-20 05:14:57$browse$1075
309$2018-09-23 03:37:30$browse$1755
593$2018-01-24 17:18:52$giveMark$797$2
555$2018-01-31 01:30:17$browse$1079
65$2018-08-15 03:50:22$share$1870
700$2018-02-08 20:40:45$share$1165
700$2018-04-18 21:31:07$browse$1260
110$2018-01-18 19:53:15$like$1972
479$2018-06-28 03:26:45$share$1726
122$2018-09-06 22:55:25$share$1667
715$2018-09-26 08:21:41$giveMark$1470$4
560$2018-10-26 12:10:34$like$950
797$2018-06-24 07:54:56$giveMark$1816$8
828$2018-02-20 22:05:30$like$593
710$2018-04-04 10:31:06$share$664
777$2018-04-29 22:08:09$giveMark$226$9
1028$2018-03-31 08:06:45$browse$455
847$2018-06-11 11:33:49$share$906
510$2018-10-08 03:26:55$like$1199
115$2018-06-18 02:51:43$browse$308
795$2018-06-25 22:28:51$browse$1978
1016$2018-07-21 08:03:24$browse$389
208$2018-05-02 18:31:33$browse$1830
942$2018-01-24 05:10:03$browse$946
310$2018-05-14 12:13:38$like$1515
184$2018-07-31 07:48:46$browse$916
437$2018-07-24 20:21:09$like$1538
327$2018-02-16 17:08:35$browse$198
89$2018-10-28 10:56:32$browse$999
833$2018-04-30 05:05:09$browse$2101
949$2018-02-10 03:43:40$like$1720
960$2018-09-12 23:38:33$giveMark$503$5
11$2018-03-31 14:12:07$share$140
393$2018-06-19 21:22:18$giveMark$1044$7
619$2018-08-17 01:08:08$share$1269
849$2018-04-26 23:12:59$like$1360
427$2018-01-30 18:15:28$like$1765
596$2018-02-03 22:56:03$giveMark$534$9
552$2018-08-01 18:05:27$like$1188
415$2018-03-02 03:04:02$browse$1605
653$2018-01-05 09:54:50$giveMark$752$6
942$2018-09-19 17:10:25$giveMark$1367$10
134$2018-04-27 13:17:28$share$1130
190$2018-06-21 16:07:30$share$1637
47$2018-05-04 11:07:31$like$487
453$2018-04-03 06:04:08$browse$699
349$2018-01-13 10:09:08$giveMark$1772$4
614$2018-09-07 09:44:20$share$2098
767$2018-09-27 05:03:16$giveMark$65$7
563$2018-02-03 18:29:01$browse$1624
646$2018-01-24 23:22:05$like$1647
912$2018-07-29 16:08:04$like$137
639$2018-01-20 02:53:29$giveMark$713$7
866$2018-01-25 22:52:43$share$2089
260$2018-07-29 05:25:12$giveMark$1446$8
534$2018-08-02 11:00:48$browse$855
870$2018-10-08 12:57:06$giveMark$549$1
721$2018-04-11 22:14:40$share$828
888$2018-06-09 00:35:42$share$1398
816$2018-08-25 17:30:15$giveMark$1625$3
828$2018-07-31 11:29:11$giveMark$127$7
519$2018-02-05 15:00:14$giveMark$412$6
728$2018-02-01 06:03:57$like$869
175$2018-10-18 10:36:06$like$1779
426$2018-09-15 09:42:44$like$294
827$2018-02-26 07:00:36$like$1254
872$2018-04-01 00:29:22$browse$1989
94$2018-09-19 00:59:17$giveMark$1857$9
358$2018-05-22 08:06:08$browse$861
594$2018-06-11 14:48:24$giveMark$1119$10
968$2018-02-06 18:14:36$giveMark$1436$1
128$2018-03-28 23:13:01$giveMark$376$7
381$2018-01-04 07:32:49$like$466
